"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUS","Australia","2018","2018","USD","US Dollar","0","Units",,,5190.886,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUS","Australia","2019","2019","USD","US Dollar","0","Units",,,5126.653,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUS","Australia","2020","2020","USD","US Dollar","0","Units",,,5692.402,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUS","Australia","2021","2021","USD","US Dollar","0","Units",,,6225.535,"E","Estimated value"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2018","2018","USD","US Dollar","0","Units",,,5518.538,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2019","2019","USD","US Dollar","0","Units",,,5625.442,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2020","2020","USD","US Dollar","0","Units",,,5863.664,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","AUT","Austria","2021","2021","USD","US Dollar","0","Units",,,6690.093,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2018","2018","USD","US Dollar","0","Units",,,5350.974,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2019","2019","USD","US Dollar","0","Units",,,5423.676,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2020","2020","USD","US Dollar","0","Units",,,5509.054,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","BEL","Belgium","2021","2021","USD","US Dollar","0","Units",,,6022.253,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CAN","Canada","2018","2018","USD","US Dollar","0","Units",,,5337.4,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CAN","Canada","2019","2019","USD","US Dollar","0","Units",,,5222.644,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CAN","Canada","2020","2020","USD","US Dollar","0","Units",,,5879.075,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CAN","Canada","2021","2021","USD","US Dollar","0","Units",,,6277.503,"D; P","Difference in methodology; Provisional value"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","EST","Estonia","2018","2018","USD","US Dollar","0","Units",,,2364.073,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","EST","Estonia","2019","2019","USD","US Dollar","0","Units",,,2453.074,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","EST","Estonia","2020","2020","USD","US Dollar","0","Units",,,2731.011,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","EST","Estonia","2021","2021","USD","US Dollar","0","Units",,,3073.593,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2018","2018","USD","US Dollar","0","Units",,,5306.704,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2019","2019","USD","US Dollar","0","Units",,,5359.776,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2020","2020","USD","US Dollar","0","Units",,,5697.193,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DNK","Denmark","2021","2021","USD","US Dollar","0","Units",,,6372.074,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DEU","Germany","2018","2018","USD","US Dollar","0","Units",,,6290.078,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DEU","Germany","2019","2019","USD","US Dollar","0","Units",,,6418.323,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DEU","Germany","2020","2020","USD","US Dollar","0","Units",,,6945.909,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","DEU","Germany","2021","2021","USD","US Dollar","0","Units",,,7518.153,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CHE","Switzerland","2018","2018","USD","US Dollar","0","Units",,,6601.596,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CHE","Switzerland","2019","2019","USD","US Dollar","0","Units",,,6708.349,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CHE","Switzerland","2020","2020","USD","US Dollar","0","Units",,,7022.378,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CHE","Switzerland","2021","2021","USD","US Dollar","0","Units",,,7582.184,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CRI","Costa Rica","2018","2018","USD","US Dollar","0","Units",,,1529.721,"B","Break"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CRI","Costa Rica","2019","2019","USD","US Dollar","0","Units",,,1556.168,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CRI","Costa Rica","2020","2020","USD","US Dollar","0","Units",,,1617.823,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","CRI","Costa Rica","2021","2021","USD","US Dollar","0","Units",,,1670.558,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","ESP","Spain","2018","2018","USD","US Dollar","0","Units",,,3427.322,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","ESP","Spain","2019","2019","USD","US Dollar","0","Units",,,3528.382,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","ESP","Spain","2020","2020","USD","US Dollar","0","Units",,,3715.968,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PPPPER","Per capita, current prices, current PPPs","ESP","Spain","2021","2021","USD","US Dollar","0","Units",,,4086.783,,
