"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,64.313,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,63.819,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,64.381,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,64.434,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,64.168,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,63.041,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,58.663,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,58.959,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2017","2017","PC","Percentage","0","Units",,,59.042,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,59.258,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2019","2019","PC","Percentage","0","Units",,,59.525,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2020","2020","PC","Percentage","0","Units",,,58.411,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2021","2021","PC","Percentage","0","Units",,,54.632,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,53.343,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,52.531,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,53.036,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,52.982,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2019","2019","PC","Percentage","0","Units",,,54.553,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2020","2020","PC","Percentage","0","Units",,,55.127,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2021","2021","PC","Percentage","0","Units",,,54.116,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2015","2015","PC","Percentage","0","Units",,,48.981,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2016","2016","PC","Percentage","0","Units",,,48.577,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,48.107,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2018","2018","PC","Percentage","0","Units",,,48.407,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2019","2019","PC","Percentage","0","Units",,,47.965,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2020","2020","PC","Percentage","0","Units",,,41.448,"D","Difference in methodology"
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2021","2021","PC","Percentage","0","Units",,,42.089,"D; P","Difference in methodology; Provisional value"
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2022","2022","PC","Percentage","0","Units",,,44.685,"D; P","Difference in methodology; Provisional value"
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,10.488,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,10.383,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,10.348,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,10.815,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,11.125,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,11.11,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,22.969,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,24.319,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,24.618,,
