Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,51442.2762464411,48564.9173350875,50731.1272541851,51786.3771747897,44195.8175947748,45307.5878620442,47429.1584564391,51466.5565633624,50070.4033482892,48809.2268762235,53637.7057109897,52131.4466586387
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,52223.696112356,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46547.7951820036,46374.1527517191,43349.677855557,52358.6216405155,54966.4888361088
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,14628.5724573037,15406.4928361503,15833.2759194461,14666.3431168586,13569.9481274733,13785.6875977318,15045.5278507601,15795.7081412484,14627.14501648,13165.3863429858,16247.4010150765,15355.5064965406
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454,60915.4243995462,68007.7566732954,66983.1320017138
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,17487.8047830923,17403.2053254767,19056.0019226991,20261.0667303883,17402.0376128079,18295.3429322119,20437.7653767361,23165.8494786433,23424.4847073513,23595.2436836437,27943.701219882,28332.6290917984
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,43846.4660764801,40870.8523645734,42602.7179652671,43068.5487241732,36652.9223052178,37062.5335723839,38781.049487084,41557.8548588869,40494.8982936269,39055.2829280747,43658.9789781222,40963.837337041
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,46705.8957963357,43855.8544658618,46298.9229177345,48023.8699845455,41103.2564363768,42136.1207908003,44652.5891722723,47939.2782884496,46793.6867615995,46772.8253507537,51203.5544731043,48432.4558732596
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,47714.5922308485,45995.5478789467,49804.9829978371,54576.7448146565,52951.6815110898,61987.9263620283,72010.1490316258,74452.1890731447,68403.1448095284,58813.7969830876,68594.0081044426,72902.9799538499
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,52183.1329312158,49054.6974340641,51546.3547634549,55643.0594338739,62053.9844381587,62895.9111239299,69970.9489145768,79250.387851767,80927.0746710651,85420.1908556082,100172.079253421,104038.946076296
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,38649.6394836792,35051.5212697703,35560.0814062291,35565.7213771491,30242.3861352184,30960.7315088911,32406.7203150137,34622.1696664735,33673.7509627414,31918.6934933773,35770.0496120858,34157.990122464
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,54230.3129029856,50070.1416045904,52198.8975607458,52900.5374153222,45193.4032187971,46039.105928411,48675.2223350217,53044.5324352244,52476.2732533318,52162.5701150397,57708.1112134322,55985.4034255707
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,101221.813476644,102175.919298374,103553.840134417,97666.6951838749,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113304,76430.5889473338,68340.0181033702,90655.3910229392,106148.778627718
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,13776.389395702,13010.7569185983,13558.3425613478,14181.9501803099,12560.051419682,12378.8117640735,13815.499946254,15504.5089372145,15700.0135796738,15816.8204022734,17999.8322682985,18321.2808899533
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,25128.0150431306,22641.805122503,23503.2824850257,24247.1733184079,20890.1664304173,21678.3594670635,23514.0254604149,26123.7471277906,26016.0786839136,25545.2410027132,29291.4006234431,29457.40284439
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,60755.7595508465,58037.8213192173,61126.9431963979,60020.3604576572,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51939.4297445291,52837.9039778149,61143.2212428047,55873.2208108977
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,50065.9665041742,51784.4185738837,53291.1276891406,55123.8497869046,56762.7294515989,57866.7449341091,59907.754260885,62823.309438197,65120.3946628653,63528.6343027508,70219.472454115,76398.5917422054
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,42150.6981408821,42485.5860695397,43449.0917173139,47447.5889322667,45071.0743234873,41146.0773555246,40622.6893883232,43306.3083049317,42747.080460496,40318.4169225055,46585.8975644567,45850.4261222629
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,
