Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Austria,AUT,5167.81787109,4966.09570313,5235.34130859,5393.60205078,4612.82421875,4709.87597656,4938.91992188,5337.21826172,5262.05419922,5585.08837891,6491.12207031,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Canada,CAN,5437.85205078,5541.57714844,5484.80761719,5231.94775391,4679.97607422,4668.23632813,4900.66894531,5052.67773438,5083.72558594,5619.41601563,6086.07519531,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Chile,CHL,994.66607666,1081.46081543,1183.62084961,1150.06164551,1133.27978516,1179.73376465,1367.71643066,1457.27270508,1369.48400879,1278.17883301,1478.8293457,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Denmark,DNK,6438.21240234,6168.33935547,6334.41552734,6466.89794922,5531.87890625,5624.32910156,5834.02050781,6232.72167969,6058.83007813,6438.39306641,7375.15136719,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Estonia,EST,1015.96826172,1013.31420898,1144.64685059,1287.76123047,1156.20288086,1226.0859375,1350.12646484,1553.43359375,1598.83752441,1787.86657715,2035.61999512,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,France,FRA,4931.87792969,4644.59570313,4888.46972656,4978.55957031,4199.06591797,4262.22363281,4411.71142578,4668.88085938,4508.34130859,4768.72705078,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Germany,DEU,5037.50878906,4765.69482422,5099.88867188,5307.37792969,4624.625,4742.96386719,5064.84326172,5503.99707031,5478.10253906,5930.33203125,6503.35644531,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Iceland,ISL,3910.57543945,3759.89355469,4068.55883789,4487.53027344,4269.93359375,5015.73291016,5944.97167969,6233.91552734,5865.23144531,5636.93505859,6636.00195313,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ireland,IRL,5558.296875,5222.04492188,5328.57910156,5329.98046875,4561.38916016,4709.16845703,5010.25634766,5484.22119141,5430.99707031,6092.17675781,6700.17871094,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Italy,ITA,3392.01269531,3086.30322266,3149.24267578,3154.27587891,2675.67163086,2699.73291016,2809.72143555,3002.76123047,2910.62792969,3057.04248047,3351.47875977,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Netherlands,NLD,5562.12109375,5284.64990234,5532.7265625,5601.88574219,4676.56201172,4753.67431641,4934.57519531,5330.66064453,5340.61279297,5846.15478516,6531.00927734,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Norway,NOR,8900.37207031,8970.12011719,9241.265625,9118.31738281,7565.54980469,7496.76855469,7815.78662109,8271.85839844,8007.35546875,7704.43603516,9020.62695313,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Poland,POL,866.09466553,815.1418457,878.08850098,911.29815674,803.95965576,813.47277832,909.57818604,978.73565674,1014.03820801,1025.98486328,1183.04736328,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Slovenia,SVN,2147.80517578,1974.85400391,2055.38134766,2062.38476563,1775.86083984,1835.40734863,1925.03479004,2169.57910156,2219.10058594,2417.20874023,2670.83544922,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Sweden,SWE,6351.21679688,6254.44238281,6696.87207031,6605.91162109,5598.68164063,5680.72558594,5837.77050781,6005.06591797,5652.98974609,6027.96728516,6914.90527344,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,United States,USA,8020.43994141,8272.95800781,8431.18261719,8824.77636719,9243.62109375,9594.74316406,9904.23730469,10284.5546875,10661.02832031,11702.40917969,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,United Kingdom,GBR,4208.65429688,4253.50195313,4317.12060547,4714.29785156,4446.99609375,4037.80810547,3930.33666992,4227.65039063,4265.20117188,4926.63134766,5634.18212891,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,
