Time,Time Code,Country Name,Country Code,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2018,YR2018,Malta,MLT,8.56596088
2018,YR2018,United Kingdom,GBR,9.65815544
2018,YR2018,Netherlands,NLD,10.01993561
2018,YR2018,Norway,NOR,10.02394581
2018,YR2018,Austria,AUT,10.34483242
2018,YR2018,Japan,JPN,10.74637508
2018,YR2018,Belgium,BEL,10.78789711
2018,YR2018,Canada,CAN,10.84608173
2018,YR2018,Sweden,SWE,10.94106293
2018,YR2018,France,FRA,11.21255589
2018,YR2018,Switzerland,CHE,11.38538456
2018,YR2018,Germany,DEU,11.45727539
2018,YR2018,United States,USA,16.64094353
2019,YR2019,Malta,MLT,9.23917389
2019,YR2019,United Kingdom,GBR,9.87480068
2019,YR2019,Netherlands,NLD,10.14039612
2019,YR2019,Norway,NOR,10.5360651
2019,YR2019,Austria,AUT,10.47507858
2019,YR2019,Japan,JPN,10.75110722
2019,YR2019,Belgium,BEL,10.6635952
2019,YR2019,Canada,CAN,10.95021915
2019,YR2019,Sweden,SWE,10.83224297
2019,YR2019,France,FRA,11.09835148
2019,YR2019,Switzerland,CHE,11.28695965
2019,YR2019,Germany,DEU,11.69622993
2019,YR2019,United States,USA,16.67647362
2020,YR2020,Malta,MLT,10.83521566
2020,YR2020,United Kingdom,GBR,11.97759342
2020,YR2020,Netherlands,NLD,11.1359272
2020,YR2020,Norway,NOR,11.41755009
2020,YR2020,Austria,AUT,11.47426033
2020,YR2020,Japan,JPN,10.9042511
2020,YR2020,Belgium,BEL,11.06453228
2020,YR2020,Canada,CAN,12.93967533
2020,YR2020,Sweden,SWE,11.37992764
2020,YR2020,France,FRA,12.20504951
2020,YR2020,Switzerland,CHE,11.79635048
2020,YR2020,Germany,DEU,12.82248878
2020,YR2020,United States,USA,18.81582642
2021,YR2021,Malta,MLT,..
2021,YR2021,United Kingdom,GBR,11.93908691
2021,YR2021,Netherlands,NLD,11.21132469
2021,YR2021,Norway,NOR,10.08628464
2021,YR2021,Austria,AUT,12.17357063
2021,YR2021,Japan,JPN,..
2021,YR2021,Belgium,BEL,..
2021,YR2021,Canada,CAN,11.67882252
2021,YR2021,Sweden,SWE,11.27992725
2021,YR2021,France,FRA,..
2021,YR2021,Switzerland,CHE,..
2021,YR2021,Germany,DEU,12.80539513
2021,YR2021,United States,USA,..
2022,YR2022,Malta,MLT,..
2022,YR2022,United Kingdom,GBR,..
2022,YR2022,Netherlands,NLD,..
2022,YR2022,Norway,NOR,..
2022,YR2022,Austria,AUT,..
2022,YR2022,Japan,JPN,..
2022,YR2022,Belgium,BEL,..
2022,YR2022,Canada,CAN,..
2022,YR2022,Sweden,SWE,..
2022,YR2022,France,FRA,..
2022,YR2022,Switzerland,CHE,..
2022,YR2022,Germany,DEU,..
2022,YR2022,United States,USA,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/26/2023,,,,
