"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2018","2018",175.9,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2019","2019",176.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2020","2020",158.6,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2021","2021",164.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2018","2018",306.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2019","2019",296.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2020","2020",294.6,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2021","2021",281.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2018","2018",200,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2018","2018",182.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2019","2019",178.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CZE","Czechia","2018","2018",444.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CZE","Czechia","2019","2019",424.1,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CZE","Czechia","2020","2020",445.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CZE","Czechia","2021","2021",422.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2018","2018",190.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2019","2019",178.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","DNK","Denmark","2020","2020",171.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","FIN","Finland","2018","2018",270.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","FIN","Finland","2019","2019",256.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","FIN","Finland","2020","2020",254.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2018","2018",303.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2019","2019",284.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2020","2020",282.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","GRC","Greece","2018","2018",282.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","GRC","Greece","2019","2019",275.2,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","GRC","Greece","2020","2020",278.9,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","HUN","Hungary","2018","2018",612.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","HUN","Hungary","2019","2019",594.2,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ISL","Iceland","2018","2018",213.9,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ISL","Iceland","2019","2019",223.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ISL","Iceland","2020","2020",214.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ISL","Iceland","2021","2021",206.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","IRL","Ireland","2018","2018",247.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","JPN","Japan","2018","2018",151.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","JPN","Japan","2019","2019",147.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","JPN","Japan","2020","2020",142.9,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","KOR","Korea","2018","2018",150.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","KOR","Korea","2019","2019",136.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","KOR","Korea","2020","2020",128.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","LUX","Luxembourg","2018","2018",206.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","LUX","Luxembourg","2019","2019",190.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","LUX","Luxembourg","2020","2020",180.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","LUX","Luxembourg","2021","2021",170.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","MEX","Mexico","2018","2018",324.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","MEX","Mexico","2019","2019",326.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","MEX","Mexico","2020","2020",427.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2018","2018",188.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2019","2019",170.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","NLD","Netherlands","2020","2020",171.2,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","POL","Poland","2018","2018",422.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","POL","Poland","2019","2019",404.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","POL","Poland","2020","2020",428.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","PRT","Portugal","2018","2018",230.9,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","PRT","Portugal","2019","2019",221.6,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","SVK","Slovak Republic","2018","2018",493.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","SVK","Slovak Republic","2019","2019",470.1,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ESP","Spain","2018","2018",190.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ESP","Spain","2019","2019",179.9,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ESP","Spain","2020","2020",182.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ESP","Spain","2021","2021",178.6,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","SWE","Sweden","2018","2018",246,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2018","2018",200.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2019","2019",189.1,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHE","Switzerland","2020","2020",191.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","TUR","Türkiye","2019","2019",383.6,"D","Difference in methodology"
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2018","2018",205.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2019","2019",192.2,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2020","2020",196.3,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2018","2018",275.6,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2019","2019",267.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2020","2020",279.2,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","BRA","Brazil","2018","2018",311.9,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","BRA","Brazil","2019","2019",305.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","BRA","Brazil","2020","2020",339.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHL","Chile","2018","2018",214.4,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHL","Chile","2019","2019",197.2,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","CHL","Chile","2020","2020",199,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","EST","Estonia","2018","2018",479.6,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","EST","Estonia","2019","2019",460,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","EST","Estonia","2020","2020",454,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","EST","Estonia","2021","2021",488.9,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ISR","Israel","2018","2018",157.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ISR","Israel","2019","2019",161,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ISR","Israel","2020","2020",158.6,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","RUS","Russia","2019","2019",633.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","SVN","Slovenia","2018","2018",316.7,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","SVN","Slovenia","2019","2019",301.8,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","SVN","Slovenia","2020","2020",291,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","ZAF","South Africa","2018","2018",506.5,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","LVA","Latvia","2018","2018",667.2,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","LVA","Latvia","2019","2019",630.1,,
"CICDCIRC","Diseases of the circulatory system","TXCMILTX","Deaths per 100 000 population (standardised rates)","LVA","Latvia","2020","2020",643,,
