Time,Time Code,Country Name,Country Code,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2000,YR2000,Australia,AUS,7.59961653
2000,YR2000,Austria,AUT,9.20371342
2000,YR2000,Belgium,BEL,7.99917603
2000,YR2000,Canada,CAN,8.24814415
2000,YR2000,Czechia,CZE,5.70103025
2000,YR2000,Denmark,DNK,8.10438347
2000,YR2000,Finland,FIN,7.09253168
2000,YR2000,France,FRA,9.58447742
2000,YR2000,Germany,DEU,9.8881979
2000,YR2000,Greece,GRC,7.24332571
2000,YR2000,Hungary,HUN,6.77804327
2000,YR2000,Iceland,ISL,8.89924335
2000,YR2000,Ireland,IRL,5.89902735
2000,YR2000,Italy,ITA,7.56665516
2000,YR2000,Japan,JPN,7.03456163
2000,YR2000,"Korea, Rep.",KOR,3.89759398
2000,YR2000,Luxembourg,LUX,5.92533875
2000,YR2000,Mexico,MEX,4.44912481
2000,YR2000,Netherlands,NLD,7.7069602
2000,YR2000,New Zealand,NZL,7.4700222
2000,YR2000,Norway,NOR,7.71215487
2000,YR2000,Poland,POL,5.28789568
2000,YR2000,Portugal,PRT,8.60104179
2000,YR2000,Slovak Republic,SVK,5.30256939
2000,YR2000,Spain,ESP,6.7992177
2000,YR2000,Sweden,SWE,7.32689953
2000,YR2000,Switzerland,CHE,9.11401939
2000,YR2000,Turkiye,TUR,4.59957218
2000,YR2000,United Kingdom,GBR,7.19114876
2000,YR2000,United States,USA,12.48710918
2000,YR2000,Brazil,BRA,8.33457184
2000,YR2000,Chile,CHL,7.03517675
2000,YR2000,China,CHN,4.50828123
2000,YR2000,Estonia,EST,5.16377735
2000,YR2000,India,IND,4.03493309
2000,YR2000,Indonesia,IDN,1.85297656
2000,YR2000,Israel,ISR,6.79617071
2000,YR2000,Russian Federation,RUS,5.01989794
2000,YR2000,Slovenia,SVN,7.80406952
2000,YR2000,South Africa,ZAF,7.3366189
2000,YR2000,Latvia,LVA,5.43338442
2000,YR2000,Costa Rica,CRI,6.56498671
2000,YR2000,Lithuania,LTU,6.19950438
2000,YR2000,Colombia,COL,5.63529348
2000,YR2000,Peru,PER,4.41482639
2000,YR2000,Bulgaria,BGR,5.82970953
2000,YR2000,Croatia,HRV,7.64173985
2000,YR2000,Romania,ROU,4.20876169
2000,YR2000,Argentina,ARG,8.22001076
2000,YR2000,Malta,MLT,6.57308626
2000,YR2000,Cyprus,CYP,5.30800056
2002,YR2002,Australia,AUS,7.87807608
2002,YR2002,Austria,AUT,9.3947649
2002,YR2002,Belgium,BEL,8.3182106
2002,YR2002,Canada,CAN,8.85670471
2002,YR2002,Czechia,CZE,6.17736149
2002,YR2002,Denmark,DNK,8.70251179
2002,YR2002,Finland,FIN,7.62769508
2002,YR2002,France,FRA,10.02218628
2002,YR2002,Germany,DEU,10.18365669
2002,YR2002,Greece,GRC,8.23377991
2002,YR2002,Hungary,HUN,7.1210165
2002,YR2002,Iceland,ISL,9.40382481
2002,YR2002,Ireland,IRL,6.67263031
2002,YR2002,Italy,ITA,7.86693573
2002,YR2002,Japan,JPN,7.35235405
2002,YR2002,"Korea, Rep.",KOR,4.16491032
2002,YR2002,Luxembourg,LUX,6.76099968
2002,YR2002,Mexico,MEX,5.0716424
2002,YR2002,Netherlands,NLD,8.64913177
2002,YR2002,New Zealand,NZL,7.90045929
2002,YR2002,Norway,NOR,9.00061893
2002,YR2002,Poland,POL,6.06724358
2002,YR2002,Portugal,PRT,8.78642941
2002,YR2002,Slovak Republic,SVK,5.50947618
2002,YR2002,Spain,ESP,6.80052757
2002,YR2002,Sweden,SWE,8.21006203
2002,YR2002,Switzerland,CHE,9.85215092
2002,YR2002,Turkiye,TUR,5.06227875
2002,YR2002,United Kingdom,GBR,7.70158529
2002,YR2002,United States,USA,13.99167347
2002,YR2002,Brazil,BRA,8.69686985
2002,YR2002,Chile,CHL,7.26602364
2002,YR2002,China,CHN,4.38285255
2002,YR2002,Estonia,EST,4.70329475
2002,YR2002,India,IND,4.24016762
2002,YR2002,Indonesia,IDN,1.98062706
2002,YR2002,Israel,ISR,7.14622402
2002,YR2002,Russian Federation,RUS,5.52166557
2002,YR2002,Slovenia,SVN,8.02119827
2002,YR2002,South Africa,ZAF,6.67774487
2002,YR2002,Latvia,LVA,5.76281166
2002,YR2002,Costa Rica,CRI,6.86908817
2002,YR2002,Lithuania,LTU,6.14446115
2002,YR2002,Colombia,COL,5.73295689
2002,YR2002,Peru,PER,4.93902254
2002,YR2002,Bulgaria,BGR,7.0809865
2002,YR2002,Croatia,HRV,6.1453743
2002,YR2002,Romania,ROU,4.57694626
2002,YR2002,Argentina,ARG,7.3933115
2002,YR2002,Malta,MLT,7.70661688
2002,YR2002,Cyprus,CYP,5.61565971
2004,YR2004,Australia,AUS,8.09003353
2004,YR2004,Austria,AUT,9.70939922
2004,YR2004,Belgium,BEL,9.32808685
2004,YR2004,Canada,CAN,9.06628132
2004,YR2004,Czechia,CZE,6.35071039
2004,YR2004,Denmark,DNK,9.00743198
2004,YR2004,Finland,FIN,8.05912876
2004,YR2004,France,FRA,10.16429329
2004,YR2004,Germany,DEU,10.14603233
2004,YR2004,Greece,GRC,8.0939045
2004,YR2004,Hungary,HUN,7.7565484
2004,YR2004,Iceland,ISL,9.32854366
2004,YR2004,Ireland,IRL,7.21972942
2004,YR2004,Italy,ITA,8.16549301
2004,YR2004,Japan,JPN,7.53518438
2004,YR2004,"Korea, Rep.",KOR,4.38896465
2004,YR2004,Luxembourg,LUX,7.2793355
2004,YR2004,Mexico,MEX,5.9539032
2004,YR2004,Netherlands,NLD,9.1107645
2004,YR2004,New Zealand,NZL,7.90090561
2004,YR2004,Norway,NOR,8.82115746
2004,YR2004,Poland,POL,5.86845207
2004,YR2004,Portugal,PRT,9.5325079
2004,YR2004,Slovak Republic,SVK,6.37190437
2004,YR2004,Spain,ESP,7.65842772
2004,YR2004,Sweden,SWE,8.1296196
2004,YR2004,Switzerland,CHE,10.1849556
2004,YR2004,Turkiye,TUR,4.9096446
2004,YR2004,United Kingdom,GBR,8.32724667
2004,YR2004,United States,USA,14.54663658
2004,YR2004,Brazil,BRA,8.12491989
2004,YR2004,Chile,CHL,6.90114975
2004,YR2004,China,CHN,4.29347467
2004,YR2004,Estonia,EST,5.11891699
2004,YR2004,India,IND,3.95739174
2004,YR2004,Indonesia,IDN,2.12002277
2004,YR2004,Israel,ISR,7.02140188
2004,YR2004,Russian Federation,RUS,4.7603755
2004,YR2004,Slovenia,SVN,7.93957281
2004,YR2004,South Africa,ZAF,6.938416
2004,YR2004,Latvia,LVA,6.20221329
2004,YR2004,Costa Rica,CRI,6.63006067
2004,YR2004,Lithuania,LTU,5.51149988
2004,YR2004,Colombia,COL,5.79892778
2004,YR2004,Peru,PER,4.42970943
2004,YR2004,Bulgaria,BGR,6.89090872
2004,YR2004,Croatia,HRV,6.51233673
2004,YR2004,Romania,ROU,5.47733593
2004,YR2004,Argentina,ARG,7.22868252
2004,YR2004,Malta,MLT,8.04820728
2004,YR2004,Cyprus,CYP,5.40558147
2006,YR2006,Australia,AUS,7.98143196
2006,YR2006,Austria,AUT,9.5311327
2006,YR2006,Belgium,BEL,9.12963009
2006,YR2006,Canada,CAN,9.34210205
2006,YR2006,Czechia,CZE,6.16380167
2006,YR2006,Denmark,DNK,9.16879559
2006,YR2006,Finland,FIN,8.2841177
2006,YR2006,France,FRA,10.38566494
2006,YR2006,Germany,DEU,10.17995167
2006,YR2006,Greece,GRC,8.25866985
2006,YR2006,Hungary,HUN,7.77566671
2006,YR2006,Iceland,ISL,8.55709076
2006,YR2006,Ireland,IRL,7.51646948
2006,YR2006,Italy,ITA,8.43673038
2006,YR2006,Japan,JPN,7.68688869
2006,YR2006,"Korea, Rep.",KOR,4.94396782
2006,YR2006,Luxembourg,LUX,6.6364212
2006,YR2006,Mexico,MEX,5.65525484
2006,YR2006,Netherlands,NLD,9.08055115
2006,YR2006,New Zealand,NZL,8.63841629
2006,YR2006,Norway,NOR,7.91272163
2006,YR2006,Poland,POL,5.80280542
2006,YR2006,Portugal,PRT,9.35422611
2006,YR2006,Slovak Republic,SVK,6.85076714
2006,YR2006,Spain,ESP,7.8290596
2006,YR2006,Sweden,SWE,8.05226612
2006,YR2006,Switzerland,CHE,9.53341675
2006,YR2006,Turkiye,TUR,5.14591694
2006,YR2006,United Kingdom,GBR,8.62720299
2006,YR2006,United States,USA,14.70358467
2006,YR2006,Brazil,BRA,8.24952507
2006,YR2006,Chile,CHL,6.03516722
2006,YR2006,China,CHN,3.94742203
2006,YR2006,Estonia,EST,4.76235056
2006,YR2006,India,IND,3.63477802
2006,YR2006,Indonesia,IDN,2.61946416
2006,YR2006,Israel,ISR,6.90668821
2006,YR2006,Russian Federation,RUS,4.76654387
2006,YR2006,Slovenia,SVN,7.82322693
2006,YR2006,South Africa,ZAF,6.87650871
2006,YR2006,Latvia,LVA,5.70438385
2006,YR2006,Costa Rica,CRI,6.93530846
2006,YR2006,Lithuania,LTU,5.84418154
2006,YR2006,Colombia,COL,6.33551502
2006,YR2006,Peru,PER,4.4095645
2006,YR2006,Bulgaria,BGR,6.52544546
2006,YR2006,Croatia,HRV,6.91900873
2006,YR2006,Romania,ROU,5.07106066
2006,YR2006,Argentina,ARG,7.64032793
2006,YR2006,Malta,MLT,8.80992031
2006,YR2006,Cyprus,CYP,5.46357489
2008,YR2008,Australia,AUS,8.25374031
2008,YR2008,Austria,AUT,9.72564602
2008,YR2008,Belgium,BEL,9.5951395
2008,YR2008,Canada,CAN,9.60754967
2008,YR2008,Czechia,CZE,6.33024931
2008,YR2008,Denmark,DNK,9.51134396
2008,YR2008,Finland,FIN,8.34310627
2008,YR2008,France,FRA,10.50084686
2008,YR2008,Germany,DEU,10.25128746
2008,YR2008,Greece,GRC,8.82774162
2008,YR2008,Hungary,HUN,7.08621168
2008,YR2008,Iceland,ISL,8.34370804
2008,YR2008,Ireland,IRL,9.12564754
2008,YR2008,Italy,ITA,8.53282356
2008,YR2008,Japan,JPN,8.08909321
2008,YR2008,"Korea, Rep.",KOR,5.39896774
2008,YR2008,Luxembourg,LUX,6.23101091
2008,YR2008,Mexico,MEX,5.69886971
2008,YR2008,Netherlands,NLD,9.27660465
2008,YR2008,New Zealand,NZL,9.12382889
2008,YR2008,Norway,NOR,7.96075296
2008,YR2008,Poland,POL,6.37592173
2008,YR2008,Portugal,PRT,9.58307838
2008,YR2008,Slovak Republic,SVK,6.9563446
2008,YR2008,Spain,ESP,8.38226032
2008,YR2008,Sweden,SWE,8.20824242
2008,YR2008,Switzerland,CHE,9.48092842
2008,YR2008,Turkiye,TUR,5.21761751
2008,YR2008,United Kingdom,GBR,9.02258778
2008,YR2008,United States,USA,15.20489883
2008,YR2008,Brazil,BRA,8.01128483
2008,YR2008,Chile,CHL,6.74047947
2008,YR2008,China,CHN,3.900002
2008,YR2008,Estonia,EST,5.71727228
2008,YR2008,India,IND,3.51468062
2008,YR2008,Indonesia,IDN,2.54842305
2008,YR2008,Israel,ISR,6.94865084
2008,YR2008,Russian Federation,RUS,4.90364122
2008,YR2008,Slovenia,SVN,7.85466576
2008,YR2008,South Africa,ZAF,7.14832258
2008,YR2008,Latvia,LVA,5.58478308
2008,YR2008,Costa Rica,CRI,7.46854782
2008,YR2008,Lithuania,LTU,6.29453707
2008,YR2008,Colombia,COL,6.84192705
2008,YR2008,Peru,PER,4.51516962
2008,YR2008,Bulgaria,BGR,6.28771019
2008,YR2008,Croatia,HRV,7.67231941
