"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","AUS","Australia","2018","2018",3.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","AUS","Australia","2019","2019",3.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","AUS","Australia","2020","2020",3.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","AUS","Australia","2021","2021",3.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","AUT","Austria","2018","2018",2.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","AUT","Austria","2019","2019",2.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","AUT","Austria","2020","2020",3.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","AUT","Austria","2021","2021",2.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2018","2018",3.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2019","2019",3.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2020","2020",3.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BEL","Belgium","2021","2021",2.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2018","2018",4.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2019","2019",4.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CAN","Canada","2020","2020",4.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czechia","2018","2018",2.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czechia","2019","2019",2.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czechia","2020","2020",2.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CZE","Czechia","2021","2021",2.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","DNK","Denmark","2018","2018",3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","DNK","Denmark","2019","2019",2.1,"B","Break"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","DNK","Denmark","2020","2020",2.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","DNK","Denmark","2021","2021",2.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","FIN","Finland","2018","2018",2.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","FIN","Finland","2019","2019",2.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","FIN","Finland","2020","2020",1.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","FIN","Finland","2021","2021",1.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","FRA","France","2018","2018",3.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","FRA","France","2019","2019",3.8,,
