"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2018","2018",82.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2019","2019",82.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2020","2020",83.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2021","2021",83.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2018","2018",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2019","2019",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2020","2020",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2021","2021",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2018","2018",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2019","2019",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2020","2020",80.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2021","2021",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2018","2018",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2019","2019",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2020","2020",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2021","2021",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2018","2018",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2019","2019",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2020","2020",78.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czechia","2021","2021",77.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2018","2018",81,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2019","2019",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2020","2020",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2021","2021",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2018","2018",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2019","2019",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2020","2020",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2021","2021",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FRA","France","2018","2018",82.8,,
