"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2018","2018",4.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2019","2019",3.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2020","2020",2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUS","Australia","2021","2021",3.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUT","Austria","2018","2018",7.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUT","Austria","2019","2019",5.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUT","Austria","2020","2020",2.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","AUT","Austria","2021","2021",3.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","BEL","Belgium","2018","2018",7.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CAN","Canada","2018","2018",8.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CAN","Canada","2019","2019",7.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CAN","Canada","2020","2020",8.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CZE","Czechia","2018","2018",4.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CZE","Czechia","2019","2019",4.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CZE","Czechia","2020","2020",6.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","CZE","Czechia","2021","2021",6.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","DNK","Denmark","2018","2018",1.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","DNK","Denmark","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","DNK","Denmark","2020","2020",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","DNK","Denmark","2021","2021",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","FIN","Finland","2018","2018",4.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","FIN","Finland","2019","2019",10.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","FIN","Finland","2020","2020",4.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","FIN","Finland","2021","2021",4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","DEU","Germany","2018","2018",3.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","DEU","Germany","2019","2019",3.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","DEU","Germany","2020","2020",3.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","DEU","Germany","2021","2021",3.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","GRC","Greece","2018","2018",4.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","GRC","Greece","2019","2019",7.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","GRC","Greece","2020","2020",3.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","HUN","Hungary","2018","2018",10,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","HUN","Hungary","2019","2019",11.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","HUN","Hungary","2020","2020",15.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","HUN","Hungary","2021","2021",25.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ISL","Iceland","2018","2018",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ISL","Iceland","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ISL","Iceland","2020","2020",3.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","IRL","Ireland","2018","2018",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","IRL","Ireland","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","IRL","Ireland","2020","2020",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ITA","Italy","2018","2018",2.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ITA","Italy","2019","2019",2.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ITA","Italy","2020","2020",2.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","JPN","Japan","2018","2018",3.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","JPN","Japan","2019","2019",3.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","JPN","Japan","2020","2020",2.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","JPN","Japan","2021","2021",3.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","KOR","Korea","2018","2018",11.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","KOR","Korea","2019","2019",9.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","KOR","Korea","2020","2020",11.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","KOR","Korea","2021","2021",8.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LUX","Luxembourg","2018","2018",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LUX","Luxembourg","2019","2019",0,"P","Provisional value"
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LUX","Luxembourg","2020","2020",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","LUX","Luxembourg","2021","2021",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","MEX","Mexico","2018","2018",34.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","MEX","Mexico","2019","2019",34.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","MEX","Mexico","2020","2020",53.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","MEX","Mexico","2021","2021",58.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NLD","Netherlands","2018","2018",3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NLD","Netherlands","2019","2019",5.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NLD","Netherlands","2020","2020",1.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NLD","Netherlands","2021","2021",2.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NZL","New Zealand","2018","2018",13.6,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NOR","Norway","2018","2018",1.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NOR","Norway","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NOR","Norway","2020","2020",3.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","NOR","Norway","2021","2021",3.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","POL","Poland","2018","2018",1.3,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","POL","Poland","2019","2019",1.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","POL","Poland","2020","2020",2.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","POL","Poland","2021","2021",2.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","PRT","Portugal","2018","2018",17.2,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","PRT","Portugal","2019","2019",10.4,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","PRT","Portugal","2020","2020",20.1,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","PRT","Portugal","2021","2021",8.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVK","Slovak Republic","2018","2018",3.5,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVK","Slovak Republic","2019","2019",0,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVK","Slovak Republic","2020","2020",1.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","SVK","Slovak Republic","2021","2021",1.8,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ESP","Spain","2018","2018",1.9,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ESP","Spain","2019","2019",1.7,,
"MATIMATM","Maternal mortality","TXCMMMTX","Deaths per 100 000 live births","ESP","Spain","2020","2020",2.9,,
