"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2018","2018",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2019","2019",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2020","2020",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2021","2021",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2018","2018",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2019","2019",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2020","2020",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2021","2021",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2018","2018",98.7,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2019","2019",98.6,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2020","2020",98.6,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2021","2021",98.6,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","CAN","Canada","2018","2018",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","CAN","Canada","2019","2019",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","CAN","Canada","2020","2020",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","CAN","Canada","2021","2021",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","CZE","Czechia","2018","2018",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","CZE","Czechia","2019","2019",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","CZE","Czechia","2020","2020",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","CZE","Czechia","2021","2021",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","DNK","Denmark","2018","2018",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","DNK","Denmark","2019","2019",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","DNK","Denmark","2020","2020",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","DNK","Denmark","2021","2021",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","FIN","Finland","2018","2018",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","FIN","Finland","2019","2019",100,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","FIN","Finland","2020","2020",100,,
