"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Selected Calendar Years 1960-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,1960 ,1970 ,1980 ,1990 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures ,$27.1,$74.1,$253.2,$718.7,"$1,366.0","$1,483.4","$1,631.0","$1,770.4","$1,894.7","$2,026.6","$2,165.1","$2,305.5","$2,402.4","$2,492.7","$2,589.6","$2,676.5","$2,783.3","$2,856.6","$3,002.6","$3,165.4","$3,307.4","$3,446.5","$3,604.4","$3,757.4","$4,144.1","$4,255.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,24.6,66.3,232.7,670.2,"1,280.3","1,393.4","1,529.6","1,661.8","1,777.7","1,901.0","2,032.1","2,159.3","2,246.1","2,345.5","2,437.5","2,517.8","2,620.1","2,693.5","2,843.1","3,002.3","3,141.2","3,265.9","3,414.6","3,563.3","3,950.1","4,048.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,23.1,62.4,214.3,611.9,"1,156.5","1,256.5","1,365.5","1,475.9","1,582.4","1,693.8","1,806.5","1,921.5","2,007.2","2,105.5","2,180.5","2,253.9","2,346.2","2,405.2","2,527.1","2,674.3","2,795.6","2,903.8","3,019.8","3,173.1","3,367.0","3,553.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance,1.1,2.6,11.9,38.3,80.7,90.1,111.9,131.7,140.4,150.0,164.8,171.8,167.4,165.9,181.4,189.5,196.7,206.9,231.6,242.5,255.7,266.6,295.4,283.2,344.9,307.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities,0.4,1.4,6.4,20.0,43.0,46.8,52.2,54.2,54.9,57.3,60.9,66.0,71.6,74.2,75.7,74.4,77.2,81.5,84.4,85.5,90.0,95.5,99.4,107.1,238.3,187.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment,2.6,7.7,20.6,48.6,85.7,90.0,101.5,108.6,116.9,125.5,133.0,146.2,156.3,147.2,152.1,158.7,163.2,163.1,159.6,163.1,166.2,180.6,189.9,194.1,193.9,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Population1,186 ,210 ,230 ,254 ,282 ,285 ,287 ,290 ,292 ,295 ,298 ,301 ,304 ,306 ,309 ,311 ,314 ,316 ,318 ,320 ,323 ,325 ,327 ,328 ,329 ,330 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product2 ,$542.4,"$1,073.3","$2,857.3","$5,963.1","$10,251.0","$10,581.9","$10,929.1","$11,456.5","$12,217.2","$13,039.2","$13,815.6","$14,474.2","$14,769.9","$14,478.1","$15,049.0","$15,599.7","$16,254.0","$16,843.2","$17,550.7","$18,206.0","$18,695.1","$19,477.3","$20,533.1","$21,381.0","$21,060.5","$23,315.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Annual Percent Change from Previous Year Shown ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures ,,10.6%,13.1%,11.0%,6.6%,8.6%,9.9%,8.5%,7.0%,7.0%,6.8%,6.5%,4.2%,3.8%,3.9%,3.4%,4.0%,2.6%,5.1%,5.4%,4.5%,4.2%,4.6%,4.2%,10.3%,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,,10.4 ,13.4 ,11.2 ,6.7 ,8.8 ,9.8 ,8.6 ,7.0 ,6.9 ,6.9 ,6.3 ,4.0 ,4.4 ,3.9 ,3.3 ,4.1 ,2.8 ,5.6 ,5.6 ,4.6 ,4.0 ,4.6 ,4.4 ,10.9 ,2.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,,10.4 ,13.1 ,11.1 ,6.6 ,8.6 ,8.7 ,8.1 ,7.2 ,7.0 ,6.6 ,6.4 ,4.5 ,4.9 ,3.6 ,3.4 ,4.1 ,2.5 ,5.1 ,5.8 ,4.5 ,3.9 ,4.0 ,5.1 ,6.1 ,5.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance,,9.4 ,16.4 ,12.4 ,7.8 ,11.6 ,24.1 ,17.7 ,6.6 ,6.8 ,9.9 ,4.3 ,-2.6 ,-0.9 ,9.3 ,4.5 ,3.8 ,5.2 ,11.9 ,4.7 ,5.4 ,4.3 ,10.8 ,-4.1 ,21.8 ,-11.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities,,13.8 ,16.9 ,12.0 ,8.0 ,8.7 ,11.6 ,3.9 ,1.3 ,4.2 ,6.4 ,8.3 ,8.5 ,3.7 ,2.0 ,-1.7 ,3.7 ,5.6 ,3.6 ,1.3 ,5.2 ,6.1 ,4.1 ,7.7 ,122.5 ,-21.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
