"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,67.624,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,67.805,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,68.103,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,68.447,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,70.745,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,70.876,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,30.013,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,29.915,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2017","2017","PC","Percentage","0","Units",,,29.816,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,30.273,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2019","2019","PC","Percentage","0","Units",,,30.439,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2020","2020","PC","Percentage","0","Units",,,33.606,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2021","2021","PC","Percentage","0","Units",,,37.765,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,20.47,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,22.843,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,23,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,23.244,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2019","2019","PC","Percentage","0","Units",,,21.268,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2020","2020","PC","Percentage","0","Units",,,24.249,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2021","2021","PC","Percentage","0","Units",,,22.76,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2015","2015","PC","Percentage","0","Units",,,69.431,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2016","2016","PC","Percentage","0","Units",,,68.437,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,68.213,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2018","2018","PC","Percentage","0","Units",,,68.262,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2019","2019","PC","Percentage","0","Units",,,68.09,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2020","2020","PC","Percentage","0","Units",,,72.485,,
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2021","2021","PC","Percentage","0","Units",,,71.669,"P","Provisional value"
"HF11","Government schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2022","2022","PC","Percentage","0","Units",,,70.014,"P","Provisional value"
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,0.962,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,0.99,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,0.923,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,1.089,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,1.147,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,1.038,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,44.045,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,44.046,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2017","2017","PC","Percentage","0","Units",,,44.202,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,44.396,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2019","2019","PC","Percentage","0","Units",,,44.628,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2020","2020","PC","Percentage","0","Units",,,43.219,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUT","Austria","2021","2021","PC","Percentage","0","Units",,,40.577,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,55.941,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,53.959,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,53.76,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,53.386,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2019","2019","PC","Percentage","0","Units",,,53.988,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2020","2020","PC","Percentage","0","Units",,,53.676,,
"HF12HF13","Compulsory contributory health insurance schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2021","2021","PC","Percentage","0","Units",,,54.853,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,31.413,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,31.205,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,30.973,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,30.464,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,28.108,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,28.086,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2021","2021","PC","Percentage","0","Units",,,26.311,"E","Estimated value"
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","AUS","Australia","2022","2022","PC","Percentage","0","Units",,,27.764,"E","Estimated value"
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,23.589,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,23.198,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,23.241,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,23.37,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2019","2019","PC","Percentage","0","Units",,,24.745,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2020","2020","PC","Percentage","0","Units",,,22.074,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2021","2021","PC","Percentage","0","Units",,,22.387,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","BEL","Belgium","2022","2022","PC","Percentage","0","Units",,,23.37,"E","Estimated value"
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2015","2015","PC","Percentage","0","Units",,,29.159,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2016","2016","PC","Percentage","0","Units",,,30.159,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,30.384,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2018","2018","PC","Percentage","0","Units",,,30.315,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2019","2019","PC","Percentage","0","Units",,,30.489,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2020","2020","PC","Percentage","0","Units",,,26.303,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2021","2021","PC","Percentage","0","Units",,,27.081,"P","Provisional value"
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CAN","Canada","2022","2022","PC","Percentage","0","Units",,,28.689,"P","Provisional value"
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CRI","Costa Rica","2015","2015","PC","Percentage","0","Units",,,25.152,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CRI","Costa Rica","2016","2016","PC","Percentage","0","Units",,,24.899,,
"HF2HF3","Voluntary schemes/household out-of-pocket payments","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARCUR","Share of current expenditure on health","CRI","Costa Rica","2017","2017","PC","Percentage","0","Units",,,25.033,"B; D","Break; Difference in methodology"
